sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,70,0.765669
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,71,0.759748
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,72,0.757877
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,73,0.773311
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,74,0.798140
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,75,0.831452
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,76,0.837690
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,77,0.881956
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,78,0.886152
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,79,0.877638
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,80,0.898193
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,81,0.927282
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,82,0.989345
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,83,1.018036
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,84,1.138470
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,85,1.232837
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,86,1.486701
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,87,1.772346
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,88,1.769819
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,89,1.981809
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,90,1.945448
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,91,3.530179
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,92,2.400523
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,93,3.143862
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,94,18.595310
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,95,49.107777
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,96,47.149049
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,97,270.282488
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,98,475.570299
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,99,153.499407
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,100,0.147604
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,0,3.323306
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,1,0.805624
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,2,0.807874
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,3,1.169032
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,4,1.047145
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,5,1.413213
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,6,2.249223
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,7,3.129652
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,8,2.337434
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,9,2.801127
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,10,2.668734
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,11,2.484160
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,12,2.303866
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,13,2.038448
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,14,1.913123
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,15,1.687586
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,16,1.485865
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,17,1.415980
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,18,1.360058
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,19,1.350722
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,20,1.321821
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,21,1.315660
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,22,1.262240
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,23,1.234981
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,24,1.201736
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,25,1.162642
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,26,1.143238
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,27,1.120114
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,28,1.106220
